Disease,DPR
Pyoderma gangrenosum,87
"X-linked intellectual disability, Miles-Carpenter type",87
Rheumatoid factor-negative juvenile idiopathic arthritis,87
"Primary dystonia, DYT2 type",87
Chronic inflammatory demyelinating polyneuropathy,88
Familial visceral myopathy,88
Camptobrachydactyly,88
Autosomal recessive spastic paraplegia type 43,88
Spastic paraplegia-optic atrophy-neuropathy syndrome,88
Benign recurrent intrahepatic cholestasis,88
Familial Scheuermann disease,89
Hemochromatosis type 4,89
Sporadic fetal brain disruption sequence,89
Gastrocutaneous syndrome,89
NK-cell enteropathy,89
His bundle tachycardia,89
SHOX-related short stature,89
Autosomal recessive congenital cerebellar ataxia due to GRID2 deficiency,89
Grange syndrome,89
Linear IgA dermatosis,89
"Primary dystonia, DYT13 type",89
Autosomal dominant spastic paraplegia type 13,89
Arrhinia-choanal atresia-microphthalmia syndrome,90
Cataract-aberrant oral frenula-growth delay syndrome,90
Acral peeling skin syndrome,90
IRVAN syndrome,90
Familial hypocalciuric hypercalcemia,90
Classic multiminicore myopathy,90
Familial papillary or follicular thyroid carcinoma,90
Congenital megacalycosis,90
"Mesomelic dysplasia, Savarirayan type",90
Recessive X-linked ichthyosis,91
Hypotonia-cystinuria syndrome,91
Hereditary spastic paraplegia,91
Palmoplantar keratoderma-esophageal carcinoma syndrome,91
Thymic epithelial neoplasm,91
Short stature due to GHSR deficiency,91
Autosomal erythropoietic protoporphyria,91
Congenital neuronal ceroid lipofuscinosis,92
Fibulo-ulnar hypoplasia-renal anomalies syndrome,92
Hemiparkinsonism-hemiatrophy syndrome,92
Porokeratosis plantaris palmaris et disseminata,92
Infantile convulsions and choreoathetosis,92
Multiple epiphyseal dysplasia type 5,92
Non-functioning paraganglioma,92
Autosomal dominant spastic paraplegia type 31,92
Craniosynostosis-Dandy-Walker malformation-hydrocephalus syndrome,93
Nephropathy-deafness-hyperparathyroidism syndrome,93
Iatrogenic or traumatic pituitary deficiency,93
Hand-Schuller-Christian disease,93
Thymic carcinoma,93
Neurodegeneration with brain iron accumulation,94
Achalasia-microcephaly syndrome,94
X-linked intellectual disability-Dandy-Walker malformation-basal ganglia disease-seizures syndrome,94
Kapur-Toriello syndrome,94
Thoraco-abdominal enteric duplication,94
Familial median cleft of the upper and lower lips,94
Digital extensor muscle aplasia-polyneuropathy,95
Sandifer syndrome,95
"46,XY disorder of sex development due to isolated 17,20-lyase deficiency",95
"X-linked intellectual disability, Shrimpton type",95
Autosomal recessive spinocerebellar ataxia-blindness-deafness syndrome,95
Epispadias,95
Neuroblastoma,96
Infantile digital fibromatosis,96
Epidermolysis bullosa simplex with circinate migratory erythema,96
Hyperinsulinism due to INSR deficiency,96
Bullous impetigo,96
Retinopathy of prematurity,96
Spinocerebellar ataxia type 19/22,96
Evans syndrome,97
Hartsfield syndrome,97
X-linked intellectual disability-epilepsy-progressive joint contractures-dysmorphism syndrome,97
Tetraploidy,98
Contractures-ectodermal dysplasia-cleft lip/palate syndrome,98
Focal palmoplantar and gingival keratoderma,98
Ophthalmoplegia-intellectual disability-lingua scrotalis syndrome,98
"ABeta amyloidosis, Italian type",98
Progressive myoclonic epilepsy with dystonia,98
"Epidermolysis bullosa simplex, generalized severe",98
Familial gestational hyperthyroidism,98
Digitotalar dysmorphism,99
Adult intestinal botulism,99
Myoclonic-astastic epilepsy,99
Fetal akinesia deformation sequence,99
X-linked skeletal dysplasia-intellectual disability syndrome,99
Microvillus inclusion disease,99
8q12 microduplication syndrome,99
Familial hypoaldosteronism,100
Cataract-microcornea syndrome,100
Ulna hypoplasia-intellectual disability syndrome,100
Polycystic ovaries-urethral sphincter dysfunction syndrome,100
Autosomal recessive spastic paraplegia type 75,100
Autosomal dominant myopia-midfacial retrusion-sensorineural hearing loss-rhizomelic dysplasia syndrome,100
Pseudomyxoma peritonei,100
Primary progressive freezing gait,100
Vulvovaginal gingival syndrome,100
Autosomal dominant spastic paraplegia type 6,100
Eosinophilic fasciitis,101
Carnosinase deficiency,101
Hereditary hypophosphatemic rickets with hypercalciuria,101
Cleft lip/palate-intestinal malrotation-cardiopathy syndrome,101
DPM3-CDG,101
Stimmler syndrome,101
Infantile-onset autosomal recessive nonprogressive cerebellar ataxia,101
Ehlers-Danlos syndrome type 7A,101
Extensor tendons of finger anomalies,102
Generalized dominant dystrophic epidermolysis bullosa,102
Aromatase deficiency,102
Jessner lymphocytic infiltration of the skin,102
Bronchial neuroendocrine tumor,102
Conotruncal heart malformations,103
Brachydactyly-preaxial hallux varus syndrome,103
Lower limb malformation-hypospadias syndrome,103
Ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome,103
Atrial septal defect-atrioventricular conduction defects syndrome,103
Autosomal dominant limb-girdle muscular dystrophy type 1D,103
X-linked intellectual disability-ataxia-apraxia syndrome,103
Dengue fever,103
Cerebellar ataxia-ectodermal dysplasia syndrome,104
White matter hypoplasia-corpus callosum agenesis-intellectual disability syndrome,104
Autosomal recessive spastic ataxia with leukoencephalopathy,104
Vocal cord and pharyngeal distal myopathy,104
Spinocerebellar ataxia type 43,104
Ulnar/fibula ray defect-brachydactyly syndrome,104
Panhypopituitarism,104
"X-linked neurodegenerative syndrome, Hamel type",104
Long chain acyl-CoA dehydrogenase deficiency,104
Methylcobalamin deficiency type cblE,105
X-linked non progressive cerebellar ataxia,105
Combined hamartoma of the retina and retinal pigment epithelium,105
Thyroid lymphoma,105
Spinocerebellar ataxia type 11,105
Autosomal recessive primary microcephaly,106
Epilepsy-microcephaly-skeletal dysplasia syndrome,106
Choroideremia-deafness-obesity syndrome,106
Distal 7q11.23 microdeletion syndrome,106
Neurofibroma,106
Delayed speech-facial asymmetry-strabismus-ear lobe creases syndrome,106
X-linked parkinsonism-spasticity syndrome,106
Multiple epiphyseal dysplasia type 4,106
Primary lipodystrophy,106
LCAT deficiency,107
External auditory canal atresia-vertical talus-hypertelorism syndrome,107
Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency,107
Spinocerebellar ataxia type 14,107
Posterior fusion of lumbosacral vertebrae-blepharoptosis syndrome,108
Hypergonadotropic hypogonadism-cataract syndrome,108
Iatrogenic botulism,108
Peters anomaly,108
Sporadic pheochromocytoma/secreting paraganglioma,108
Hepatic veno-occlusive disease,108
Oculoauriculofrontonasal syndrome,108
Pyomyositis,108
Bradyopsia,108
Familial cold urticaria,108
"Autoimmune hemolytic anemia, warm type",108
Maculopapular cutaneous mastocytosis,108
Congenital cerebellar ataxia due to RNU12 mutation,108
Punctate palmoplantar keratoderma type 1,108
"X-linked intellectual disability, Shashi type",109
Complex regional pain syndrome,109
Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,110
Port-wine nevi-mega cisterna magna-hydrocephalus syndrome,110
Lethal recessive chondrodysplasia,110
Ectrodactyly-spina bifida-cardiopathy syndrome,110
Zollinger-Ellison syndrome,110
Autosomal recessive cerebellar ataxia-psychomotor delay syndrome,110
Braddock syndrome,110
Xeroderma pigmentosum variant,110
Wound botulism,111
Multicentric reticulohistiocytosis,111
Mesoaxial synostotic syndactyly with phalangeal reduction,111
Paternal 20q13.2q13.3 microdeletion syndrome,111
Toxin-mediated infectious botulism,111
LMNA-related cardiocutaneous progeria syndrome,111
Polycythemia vera,111
Obesity due to pro-opiomelanocortin deficiency,111
Obesity due to prohormone convertase I deficiency,111
"Epidermolysis bullosa simplex, autosomal recessive K14",111
Pfeiffer syndrome type 1,111
Charcot-Marie-Tooth disease type 1A,111
"X-linked intellectual disability, Cilliers type",112
Autosomal recessive faciodigitogenital syndrome,112
Blount disease,112
Primary unilateral adrenal hyperplasia,112
Amyotrophic lateral sclerosis type 4,112
Cyclic neutropenia,112
Autoimmune hemolytic anemia-autoimmune thrombocytopenia-primary immunodeficiency syndrome,112
ALG9-CDG,112
DPAGT1-CDG,112
Absence of fingerprints-congenital milia syndrome,113
Spinocerebellar ataxia type 29,113
Epidermolysis bullosa simplex with muscular dystrophy,113
Nanophthalmia,113
"Methylmalonic acidemia with homocystinuria, type cblC",113
"X-linked intellectual disability, Abidi type",113
Cloacal exstrophy,113
Acyl-CoA dehydrogenase 9 deficiency,113
Chronic granulomatous disease,114
Craniodiaphyseal dysplasia,114
"46,XX disorder of sex development-skeletal anomalies syndrome",114
"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",115
"Microcephaly-microcornea syndrome, Seemanova type",115
Spastic ataxia-corneal dystrophy syndrome,115
Vitamin B12-responsive methylmalonic acidemia,115
Hydrocephalus-obesity-hypogonadism syndrome,115
SLC35A1-CDG,115
Tangier disease,115
Autosomal dominant spastic paraplegia type 8,115
Eng-Strom syndrome,116
W syndrome,116
Kyphoscoliosis-lateral tongue atrophy-hereditary spastic paraplegia syndrome,116
Palmoplantar keratoderma-sclerodactyly syndrome,116
Maternal uniparental disomy of chromosome 2,116
Blepharophimosis-epicanthus inversus-ptosis syndrome,117
BOR syndrome,117
Otodental syndrome,117
Hemolytic anemia due to red cell pyruvate kinase deficiency,117
Ectopic aldosterone-producing tumor,117
Hereditary pheochromocytoma-paraganglioma,117
Autosomal recessive limb-girdle muscular dystrophy type 2A,118
Cleft palate-stapes fixation-oligodontia syndrome,118
8p23.1 duplication syndrome,118
Urocanic aciduria,118
Obesity due to SIM1 deficiency,118
Autosomal recessive spastic paraplegia type 63,118
Ring chromosome 8 syndrome,119
Leukomelanoderma-infantilism-intellectual disability-hypodontia-hypotrichosis syndrome,119
Pseudoprogeria syndrome,119
Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome,119
Hereditary proximal myopathy with early respiratory failure,120
Benign familial neonatal epilepsy,120
Xp22.3 microdeletion syndrome,120
Parana hard skin syndrome,120
RARS-related autosomal recessive hypomyelinating leukodystrophy,120
GNE myopathy,120
Congenital muscular dystrophy-respiratory failure-skin abnormalities-joint hyperlaxity syndrome,120
Focal myositis,120
Thymic neuroendocrine tumor,120
Brachydactyly type A1,120
Gallbladder neuroendocrine tumor,120
Craniodigital-intellectual disability syndrome,121
Fetal iodine syndrome,121
Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome,121
Autosomal recessive spastic paraplegia type 56,121
Bruck syndrome,122
Frontonasal dysplasia,122
Familial hyperaldosteronism type II,122
Keratosis pilaris atrophicans,122
Autosomal dominant Kenny-Caffey syndrome,122
DK1-CDG,122
Facial onset sensory and motor neuronopathy,122
Persistent placoid maculopathy,122
Spinocerebellar ataxia type 4,122
Hypophosphatemic rickets,123
Central diabetes insipidus,123
Familial hyperaldosteronism type I,123
16p13.11 microduplication syndrome,123
Woodhouse-Sakati syndrome,123
Rapid-onset dystonia-parkinsonism,123
Naxos disease,123
"Brachyolmia, Maroteaux type",123
Autosomal recessive limb-girdle muscular dystrophy type 2K,123
"Microcephalic osteodysplastic dysplasia, Saul-Wilson type",123
Cushing syndrome due to macronodular adrenal hyperplasia,124
"Congenital absence/hypoplasia of fingers excluding thumb, unilateral",124
Maxillonasal dysplasia,124
Lissencephaly type 1 due to doublecortin gene mutation,124
Odonto-onycho dysplasia-alopecia syndrome,124
Carney complex,124
Alpha-thalassemia-myelodysplastic syndrome,124
Hereditary late-onset Parkinson disease,124
Generalized eruptive keratoacanthoma,124
Zellweger-like syndrome without peroxisomal anomalies,124
Maternal uniparental disomy of chromosome 6,124
Pituicytoma,125
Episodic ataxia type 7,125
Autosomal recessive spastic paraplegia type 62,125
Autosomal recessive spastic paraplegia type 64,125
Ulerythema ophryogenesis,125
Autosomal dominant cutis laxa,125
Porphyria cutanea tarda,125
MASA syndrome,126
"Hypospadias-intellectual disability, Goldblatt type syndrome",126
Inhalational botulism,126
Autosomal recessive spastic paraplegia type 53,126
Deficiency in anterior pituitary function-variable immunodeficiency syndrome,126
ACTH-independent Cushing syndrome,126
Trisomy 8q,127
Familial hyperaldosteronism type III,127
Weissenbacher- Zweymuller syndrome,127
Microduplication Xp11.22-p11.23 syndrome,127
"Ehlers-Danlos syndrome, arthrochalasis type",127
Panniculitis-induced localized lipodystrophy,127
Multiple epiphyseal dysplasia type 1,127
Oculocutaneous albinism type 3,127
Autosomal recessive dopa-responsive dystonia,127
Pfeiffer syndrome,128
Aicardi-Goutieres syndrome,128
Flat face-microstomia-ear anomaly syndrome,128
Pelvic dysplasia-arthrogryposis of lower limbs syndrome,128
Best vitelliform macular dystrophy,128
X-linked endothelial corneal dystrophy,128
Becker nevus syndrome,128
Subcorneal pustular dermatosis,128
Hereditary neuropathy with liability to pressure palsies,129
Congenital muscular dystrophy without intellectual disability,129
Hemochromatosis type 2,129
CREST syndrome,129
Idiopathic localized lipodystrophy,129
Congenital panfollicular nevus,130
Cardiospondylocarpofacial syndrome,130
Autosomal recessive limb-girdle muscular dystrophy type 2S,130
Episodic ataxia with slurred speech,130
Wolman disease,130
Banki syndrome,131
Childhood-onset autosomal recessive slowly progressive spinocerebellar ataxia,131
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to RUBCN deficiency,131
"Spondylometaphyseal dysplasia, 'corner fracture' type",131
Autosomal recessive spastic paraplegia type 23,131
Stickler syndrome type 3,132
Crane-Heise syndrome,132
Craniofacial-deafness-hand syndrome,132
Glycogen storage disease with severe cardiomyopathy due to glycogenin deficiency,132
Spinocerebellar ataxia type 35,132
Focal facial dermal dysplasia type II,132
Hydroxykynureninuria,132
Episodic ataxia type 1,132
Drug-induced autoimmune hemolytic anemia,132
Congenital bile acid synthesis defect type 2,132
Syndactyly type 4,132
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency,133
Methylmalonic acidemia with homocystinuria type cblF,133
Porokeratosis,133
Neuronal intestinal pseudoobstruction,133
Carbamoyl-phosphate synthetase 1 deficiency,134
Frontal encephalocele,134
Androgen insensitivity syndrome,134
Autosomal recessive frontotemporal pachygyria,134
Penile agenesis,134
Atopic keratoconjunctivitis,135
Trisomy 9p,135
Botulism,135
Spastic ataxia with congenital miosis,135
X-linked corneal dermoid,135
Cleft lip-retinopathy syndrome,135
Familial cutaneous collagenoma,135
Kienbock disease,135
"Primary dystonia, DYT4 type",135
Spinocerebellar ataxia type 8,135
Hashimoto-Pritzker syndrome,135
Facioscapulohumeral dystrophy,136
Temtamy syndrome,136
Macrosomia-microphthalmia-cleft palate syndrome,136
Upper limb defect-eye and ear abnormalities syndrome,136
Spinocerebellar ataxia type 31,136
Autosomal spastic paraplegia type 72,136
Acrocapitofemoral dysplasia,136
Congenital enterocyte heparan sulfate deficiency,136
Adenylosuccinate lyase deficiency,137
Trigonocephaly-short stature-developmental delay syndrome,137
Adrenocortical carcinoma with pure aldosterone hypersecretion,137
"Junctional epidermolysis bullosa, generalized severe",137
Familial long QT syndrome,138
Congenital bilateral absence of vas deferens,138
Pili torti-developmental delay-neurological abnormalities syndrome,138
PLIN1-related familial partial lipodystrophy,138
Cochleosaccular degeneration-cataract syndrome,138
Acrokeratoelastoidosis of Costa,138
Congenital bile acid synthesis defect type 3,138
Ehlers-Danlos syndrome type 7B,138
Hypokalemic periodic paralysis,139
Dermatitis herpetiformis,139
Dermatofibrosarcoma protuberans,139
Childhood disintegrative disorder,140
Lujo hemorrhagic fever,140
Muenke syndrome,140
Cone rod dystrophy,141
Cerebral gigantism-jaw cysts syndrome,141
Kallmann syndrome-heart disease syndrome,141
STT3A-CDG,141
Pudendal neuralgia,141
Distal monosomy 1q,141
Primary familial polycythemia,141
Glycogen storage disease due to phosphorylase kinase deficiency,142
Alopecia antibody deficiency,142
Hereditary orotic aciduria,142
Blindness-scoliosis-arachnodactyly syndrome,142
Arthrogryposis multiplex congenita,142
Emery-Nelson syndrome,142
Ectodermal dysplasia-sensorineural deafness syndrome,142
Autosomal dominant childhood-onset proximal spinal muscular atrophy with contractures,142
Autosomal recessive cerebellar ataxia with late-onset spasticity,142
Morning glory syndrome,142
Melkersson-Rosenthal syndrome,143
Congenital velopharyngeal incompetence,143
Ebstein malformation,144
Spastic paraplegia-nephritis-deafness syndrome,144
Paroxysmal non-kinesigenic dyskinesia,144
Muir-Torre syndrome,145
3-hydroxyisobutyric aciduria,145
Indomethacin embryofetopathy,145
Generalized resistance to thyroid hormone,145
Autosomal dominant spastic paraplegia type 36,145
Acetazolamide-responsive myotonia,145
Spinocerebellar ataxia type 36,146
Deafness-vitiligo-achalasia syndrome,146
FADD-related immunodeficiency,146
Ichthyosis hystrix of Curth-Macklin,146
Spinocerebellar ataxia type 3,146
Primary parathyroid hyperplasia,146
Horizontal gaze palsy with progressive scoliosis,147
Meacham syndrome,147
Congenital bronchobiliary fistula,148
17q11.2 microduplication syndrome,148
Autosomal recessive spastic paraplegia type 57,148
MT-ATP6-related mitochondrial spastic paraplegia,149
Autosomal recessive spastic paraplegia type 74,149
Autosomal recessive spastic paraplegia type 59,149
Dentinogenesis imperfecta-short stature-hearing loss-intellectual disability syndrome,149
Acquired hemophilia,149
Duchenne and Becker muscular dystrophy,150
Ameloonychohypohidrotic syndrome,150
Spinocerebellar ataxia-dysmorphism syndrome,150
Epidermolysis bullosa simplex with pyloric atresia,150
Juvenile amyotrophic lateral sclerosis,150
Autosomal dominant limb-girdle muscular dystrophy type 1B,150
Thiamine-responsive megaloblastic anemia syndrome,150
Tietz syndrome,150
X-linked intellectual disability-cubitus valgus-dysmorphism syndrome,150
Neurogenic thoracic outlet syndrome,150
Oculopharyngeal muscular dystrophy,151
Cap myopathy,151
Trisomy Xq28,151
Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome,151
Neurological conditions associated with aminoacylase 1 deficiency,151
Cerebrocostomandibular syndrome,151
Hypertelorism-hypospadias-polysyndactyly syndrome,151
Gray platelet syndrome,151
Brachydactyly type C,151
ACTH-dependent Cushing syndrome,151
Parkinsonian-pyramidal syndrome,152
Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome,152
Nathalie syndrome,152
Umbilical cord ulceration-intestinal atresia syndrome,152
Pressure-induced localized lipoatrophy,152
Distal trisomy 5q,152
Aland Islands eye disease,153
X-linked mandibulofacial dysostosis,153
Cleft palate-large ears-small head syndrome,153
Mullerian aplasia and hyperandrogenism,153
Microcephaly-deafness-intellectual disability syndrome,153
16p11.2p12.2 microduplication syndrome,153
Renal cysts and diabetes syndrome,153
Parkinsonism with dementia of Guadeloupe,153
Spinocerebellar ataxia type 27,153
Acro-renal-mandibular syndrome,154
Hypoplastic tibiae-postaxial polydactyly syndrome,154
Autoimmune polyendocrinopathy type 4,154
Progressive bifocal chorioretinal atrophy,154
Spinocerebellar ataxia type 26,154
Cystinuria,155
Anophthalmia plus syndrome,155
Symptomatic form of Coffin-Lowry syndrome in female carriers,155
Autoimmune polyendocrinopathy type 3,155
Distal Xq28 microduplication syndrome,155
PPARG-related familial partial lipodystrophy,155
Nodular non-suppurative panniculitis,155
Autosomal dominant brachyolmia,155
"46,XX ovotesticular disorder of sex development",156
Genitopalatocardiac syndrome,156
Isolated punctate palmoplantar keratoderma,156
"Rhizomelic dysplasia, Patterson-Lowry type",156
Congenital myopathy with myasthenic-like onset,156
Nipah virus disease,156
Ring chromosome 10 syndrome,157
Heart-hand syndrome type 3,157
Leukoencephalopathy-palmoplantar keratoderma syndrome,157
Mayer-Rokitansky-Kuster-Hauser syndrome type 2,157
10q22.3q23.3 microdeletion syndrome,157
Stickler syndrome type 2,157
ALG2-CDG,157
Blue cone monochromatism,158
Aniridia-renal agenesis-psychomotor retardation syndrome,158
Ataxia-telangiectasia-like disorder,158
Griscelli syndrome type 2,158
Mitochondrial myopathy-lactic acidosis-deafness syndrome,159
Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome,159
Johnson neuroectodermal syndrome,159
Fish-eye disease,159
Adult-onset nemaline myopathy,160
Craniotelencephalic dysplasia,160
Summitt syndrome,160
Hemidystonia-hemiatrophy syndrome,160
Beta-mannosidosis,161
Rare cutaneous lupus erythematosus,161
Hirschsprung disease,161
Benign paroxysmal tonic upgaze of childhood with ataxia,161
Cortical blindness-intellectual disability-polydactyly syndrome,161
Infantile choroidocerebral calcification syndrome,161
Greig cephalopolysyndactyly syndrome,161
Birdshot chorioretinopathy,161
Spectrin-associated autosomal recessive cerebellar ataxia,161
Ovarian fibrothecoma,161
Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency,161
Narcolepsy type 2,161
Uncombable hair syndrome,162
Bullous pemphigoid,162
Pili bifurcati,162
Pili gemini,162
Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome,162
Spinocerebellar ataxia type 2,162
EAST syndrome,163
Thumb deformity-alopecia-pigmentation anomaly syndrome,163
Familial articular hypermobility syndrome,163
Moyamoya disease,163
Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency,163
Loose anagen syndrome,163
Spinocerebellar ataxia type 10,163
"ABeta amyloidosis, Arctic type",164
Acropectoral syndrome,164
Severe intellectual disability-epilepsy-anal anomalies-distal phalangeal hypoplasia,164
Paroxysmal kinesigenic dyskinesia,164
Glycogen storage disease due to muscle phosphofructokinase deficiency,165
"Lipoatrophy with diabetes, leukomelanodermic papules, liver steatosis, and hypertrophic cardiomyopathy",165
Progressive cone dystrophy,165
Vernal keratoconjunctivitis,165
Cutaneous neuroendocrine carcinoma,165
Crimean-Congo hemorrhagic fever,165
Kearns-Sayre syndrome,166
Antenatal multiminicore disease with arthrogryposis multiplex congenita,166
Brachydactyly-mesomelia-intellectual disability-heart defects syndrome,166
Congenital cataract-progressive muscular hypotonia-hearing loss-developmental delay syndrome,166
3-methylglutaconic aciduria type 1,166
Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome,166
Galactose epimerase deficiency,166
Leber hereditary optic neuropathy,167
XY type gonadal dysgenesis-associated anomalies syndrome,167
Liddle syndrome,167
Acrocephalosyndactyly,167
Opitz G/BBB syndrome,167
Postnatal microcephaly-infantile hypotonia-spastic diplegia-dysarthria-intellectual disability syndrome,167
Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency,167
Amish lethal microcephaly,167
X-linked Charcot-Marie-Tooth disease type 1,167
Autosomal dominant spastic paraplegia type 3,167
Marburg hemorrhagic fever,167
Pendred syndrome,168
Fused mandibular incisors,168
Huntington disease-like syndrome due to C9ORF72 expansions,168
Yellow fever,168
Jalili syndrome,169
Severe hereditary thrombophilia due to congenital protein C deficiency,169
Parkes Weber syndrome,169
Sheldon-Hall syndrome,170
"Acromesomelic dysplasia, Maroteaux type",170
Choroidal atrophy-alopecia syndrome,170
MMEP syndrome,170
Essential thrombocythemia,170
Familial primary hypomagnesemia with normocalciuria and normocalcemia,170
Trisomy X,171
HEC syndrome,171
20p12.3 microdeletion syndrome,171
Cogan syndrome,171
Spinocerebellar ataxia with axonal neuropathy type 2,171
Mixed-type autoimmune hemolytic anemia,171
ATTRV30M amyloidosis,171
Corneal dystrophy-perceptive deafness syndrome,172
Dacryocystitis-osteopoikilosis syndrome,172
Mycophenolate mofetil embryopathy,172
Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome,172
Osteosclerosis-ichthyosis-premature ovarian failure syndrome,172
Congenital primary aphakia,172
"Platyspondylic dysplasia, Torrance type",172
Secondary syringomyelia,172
Anti-glomerular basement membrane disease,173
Early-onset cerebellar ataxia with retained tendon reflexes,173
Cystic fibrosis-gastritis-megaloblastic anemia syndrome,173
Beta-thalassemia-X-linked thrombocytopenia syndrome,173
Erosive pustular dermatosis of the scalp,173
Cold agglutinin disease,173
"Deafness with labyrinthine aplasia, microtia, and microdontia",173
PPoma,173
Stargardt disease,174
Paraplegia-intellectual disability-hyperkeratosis syndrome,174
Cutaneous mastocytoma,174
Enthesitis-related juvenile idiopathic arthritis,174
"X-linked intellectual disability, Golabi-Ito-Hall type",174
Alpha-heavy chain disease,174
Autosomal dominant Charcot-Marie-Tooth disease type 2K,174
Myopathy-growth delay-intellectual disability-hypospadias syndrome,175
Frontofacionasal dysplasia,175
Pituitary deficiency due to Rathke's cleft cysts,175
Malignant hyperthermia of anesthesia,176
Autosomal dominant spastic paraplegia type 42,176
Cataract-nephropathy-encephalopathy syndrome,176
Conductive deafness-malformed external ear syndrome,176
Nephrogenic diabetes insipidus,176
Primary hyperaldosteronism-seizures-neurological abnormalities syndrome,176
Adult-onset Still disease,176
Autosomal dominant spastic paraplegia type 73,176
Proximal tubulopathy-diabetes mellitus-cerebellar ataxia syndrome,177
Retinal degeneration-nanophthalmos-glaucoma syndrome,177
Lethal intrauterine growth restriction-cortical malformation-congenital contractures syndrome,177
Adult-onset non-insulinoma persistent hyperinsulinemic hypoglycemia,177
"Carnitine palmitoyl transferase II deficiency, severe infantile form",177
Autosomal dominant limb-girdle muscular dystrophy type 1A,177
X-linked sideroblastic anemia,177
Sheehan syndrome,177
Autosomal dominant spastic paraplegia type 4,177
2p21 microdeletion syndrome,178
Familial calcium pyrophosphate deposition,178
Spinal muscular atrophy-progressive myoclonic epilepsy syndrome,178
Medulloblastoma,178
Usher syndrome type 3,178
Gordon syndrome,179
Benign adult familial myoclonic epilepsy,179
Lichen planus pemphigoides,180
Worster-Drought syndrome,180
Autosomal dominant spastic paraplegia type 41,180
Achromatopsia,180
X-linked complicated corpus callosum dysgenesis,181
Nodular neuronal heterotopia,181
Monoamine oxidase A deficiency,181
Wrinkly skin syndrome,181
Von Willebrand disease,181
Hereditary sensory and autonomic neuropathy due to TECPR2 mutation,181
Estrogen resistance syndrome,181
Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency,181
Camptodactyly-tall stature-scoliosis-hearing loss syndrome,181
Somatostatinoma,181
Charcot-Marie-Tooth disease/Hereditary motor and sensory neuropathy,182
Hernandez-Aguirre Negrete syndrome,182
Facial dysmorphism-shawl scrotum-joint laxity syndrome,182
Autosomal recessive spastic paraplegia type 54,182
Syndromic X-linked intellectual disability 7,182
Autosomal dominant spastic paraplegia type 37,183
Early myoclonic encephalopathy,183
Multiple symmetric lipomatosis,183
Tuberculosis,183
"Phocomelia, Schinzel type",183
Dysostosis with brachydactyly,183
"X-linked intellectual disability, Turner type",183
Nelson syndrome,184
Non-distal monosomy 10q,184
Primary hypergonadotropic hypogonadism-partial alopecia syndrome,184
Aorto-ventricular tunnel,184
Frontonasal dysplasia-severe microphthalmia-severe facial clefting syndrome,184
Early-onset progressive encephalopathy-spastic ataxia-distal spinal muscular atrophy syndrome,184
Hypoalphalipoproteinemia,184
Erythromelalgia,185
Spondylometaphyseal dysplasia,185
"Acromesomelic dysplasia, Grebe type",185
"Mesomelic dwarfism, Reinhardt-Pfeiffer type",185
Facial asymmetry-temporal seizures syndrome,185
Developmental malformations-deafness-dystonia syndrome,185
"Spondylometaphyseal dysplasia, Schmidt type",185
Drug rash with eosinophilia and systemic symptoms,186
Brachytelephalangy-dysmorphism-Kallmann syndrome,186
Dahlberg-Borer-Newcomer syndrome,186
X-linked lissencephaly with abnormal genitalia,186
"X-linked intellectual disability, Pai type",186
Isaac syndrome,186
Ileal neuroendocrine tumor,186
Jejunal neuroendocrine tumor,186
Tetrasomy 12p,187
Isolated cloverleaf skull syndrome,187
ICF syndrome,187
Anonychia-microcephaly syndrome,187
Benign hereditary chorea,187
Tibial aplasia-ectrodactyly syndrome,187
Hereditary sensory and autonomic neuropathy type 5,187
Achondrogenesis type 1A,187
Alpha-N-acetylgalactosaminidase deficiency type 2,187
Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,188
Primary pigmented nodular adrenocortical disease,188
Fetal methylmercury syndrome,188
Methimazole embryofetopathy,188
Macrocephaly-spastic paraplegia-dysmorphism syndrome,188
Moynahan syndrome,188
Symbrachydactyly of hands and feet,188
Episodic ataxia type 6,188
Tetrasomy 5p,188
Severe congenital hypochromic anemia with ringed sideroblasts,188
