HPO,PDR
Abnormal vena cava morphology,65
Abnormal superior vena cava morphology,65
Infra-aortic superior vena cava,65
Intrahepatic portal vein sclerosis,65
Anomalous splenoportal venous system,65
Abnormality of the hepatic vasculature,65
Hepatic vascular malformations,65
Congenital absence of portal vein,65
Abnormal portal venous system morphology,65
Abnormality of acetylcarnitine metabolism,65
Elevated levels of phytanic acid,65
Increased circulating free fatty acid level,65
Hyperkalemia,65
Exercise-induced lactic acidemia,65
Chronic lactic acidosis,65
Elevated erythrocyte sedimentation rate,65
Postprandial hyperlactemia,65
Increased serum lactate,65
Severe lactic acidosis,65
Congenital lactic acidosis,65
Persistent lactic acidosis,65
Hyperkalemic metabolic acidosis,65
Intermittent lactic acidemia,65
Lactic acidosis,65
Abnormal thalamic MRI signal intensity,65
T2 hypointense thalamus,65
Focal T2 hyperintense thalamic lesion,65
CSF pleocytosis,65
CSF polymorphonuclear pleocytosis,65
Decreased CSF homovanillic acid,65
Neuronal loss in basal ganglia,65
Shagreen patch,65
Soft-tissue ossification around the shoulders,65
Ectopic ossification in tendon tissue,65
Ectopic ossification,65
Stenosis of the medullary cavity of the long bones,65
Decreased total hemolytic complement activity,65
Abnormal total hemolytic complement activity,65
Increased total hemolytic complement activity,65
Abnormality of complement system,65
Reduced hemolytic complement activity,65
Cryoglobulinemia,65
Depletion of components of the alternative complement pathway,65
Dysfunctional alternative complement pathway,65
Abnormality of the alternative complement pathway,65
Shoulder muscle aplasia,65
Aplasia/Hypoplasia involving the shoulder musculature,65
Exaggerated startle response,65
Bladder fistula,65
Hyperplastic labia majora,65
Exaggerated rugosity of the labia majora,65
Abnormality of the labia majora,65
Fused labia majora,65
Fused labia minora,65
Hemihypertrophy of lower limb,65
Proximal symphalangism,66
Second degree atrioventricular block,66
Third degree atrioventricular block,66
Complete heart block with narrow QRS complexes,66
Mobitz II atrioventricular block,66
Mobitz I atrioventricular block,66
Complete heart block with broad QRS complexes,66
Obstruction of the superior vena cava,66
Premature arteriosclerosis,66
Abnormality of external carotid artery,66
Carotid artery occlusion,66
Increased carotid artery intimal medial thickness,66
Anomalous origin of the left common carotid artery from the brachiocephalic artery,66
Abnormal carotid artery morphology,66
Carotid cavernous fistula,66
Anomalous origin of the right common carotid artery from the aorta,66
Anomalous origin of the left common carotid artery from the main pulmonary artery,66
Abnormal common carotid artery morphology,66
Anomalous branches of internal carotid artery,66
Very long chain fatty acid accumulation,66
Stress/infection-induced lactic acidosis,66
Focal T2 hypointense thalamic lesion,66
Diastomatomyelia,66
CNS hypomyelination,66
Increased CSF lactate,66
CSF lymphocytic pleiocytosis,66
Chronic CSF lymphocytosis,66
Decreased pineal volume,66
Increased pineal volume,66
Agenesis of pineal gland,66
Abnormality of pineal morphology,66
Bilateral basal ganglia lesions,66
Pineal cyst,66
Porencephalic cyst,66
Pineal gland calcification,66
Abnormal pineal volume,66
Rectal prolapse,66
Nevus flammeus,66
Nevus flammeus nuchae,66
Ectopic ossification in ligament tissue,66
Pancreatic calcification,66
Partial complement factor H deficiency,66
Decreased serum complement factor H,66
Decreased serum complement C9,66
Complement deficiency,66
C8 deficiency,66
Decreased serum complement factor I,66
Partial functional complement factor D deficiency,66
Round ear,66
Triceps hypoplasia,66
Biceps hypoplasia,66
Upper limb muscle hypoplasia,66
Hypoplasia of the upper arm musculature,66
Enuresis diurna,66
Enuresis,66
Phimosis,66
Absence of labia majora,66
Penoscrotal transposition,66
Osseous atresia of the external auditory canal,66
Cutaneous atresia of the external auditory canal,66
Atresia of the external auditory canal,66
Intermittent hypothermia,67
Hypothermia,67
Abnormal nerve conduction velocity,67
Abnormal sensory nerve conduction velocity,67
Recurrent loss of toenails and fingernails,67
Ragged cuticle,67
Internal carotid artery dissection,67
Intracranial internal carotid artery dissection,67
Common carotid artery dissection,67
Carotid artery dissection,67
External carotid artery dissection,67
Peripheral pulmonary vessel aplasia,67
Agenesis of pulmonary vessels,67
Abnormality of the pulmonary vasculature,67
Nail bed hemorrhage,67
Absent lunula,67
Chronic monilial nail infection,67
Ingrown nail,67
Ski jump nail,67
Fast-growing nails,67
Beaked nails,67
Abnormal nail growth,67
Pyramidal skinfold extending from the base to the top of the nails,67
Pterygium of nails,67
Abnormality of the nail,67
Elevated plasma acylcarnitine levels,67
Cranial nerve compression,67
Spinal cord posterior columns myelin loss,67
Kinked brainstem,67
Enlarged brainstem,67
Abnormality of the brainstem white matter,67
Abnormality of brainstem morphology,67
Aplasia/Hypoplasia of the brainstem,67
Olivary degeneration,67
Abnormality of the medulla oblongata,67
Basal ganglia gliosis,67
Basal ganglia cysts,67
Apnea,67
Webbed neck,67
Pes valgus,67
Abnormal enchondral ossification,67
Calcific stippling of infantile cartilaginous skeleton,67
Enlarged sagittal diameter of the cervical canal,67
Cervical vertebral bodies with decreased anteroposterior diameter,67
Abnormality of the cervical spine,67
Cervical subluxation,67
C2-C3 subluxation,67
Cervical spine hypermobility,67
Cervical spine instability,67
Abnormal cervical curvature,67
Widening of cervical spinal canal,67
Ectopic ossification in muscle tissue,67
Aplasia/Hypoplasia of the cervical spine,67
Cervical vertebral facet hypoplasia,67
Cervical vertebral agenesis,67
Hepatic calcification,67
Adrenal calcification,67
Anomaly of lower limb diaphyses,67
Broad long bone diaphyses,67
Anomaly of the limb diaphyses,67
Decreased serum complement factor B,67
Decreased serum complement C4,67
Decreased serum complement C4b,67
Decreased serum complement C4a,67
Prominent tragus,67
Abnormality of the tragus,67
Bifid tragus,67
Duplicated tragus,67
Disproportionate tall stature,67
Lymphocytosis,67
Aplasia/Hypoplasia of the lungs,67
Unilateral lung agenesis,67
Shawl scrotum,67
Aqueductal stenosis,68
Abnormal motor nerve conduction velocity,68
Drowsiness,68
Paroxysmal drowsiness,68
Myocardial infarction,68
Truncus arteriosus,68
Type II truncus arteriosus,68
Left superior vena cava draining to coronary sinus,68
Type IV truncus arteriosus,68
Type III truncus arteriosus,68
Absent right superior vena cava,68
Type I truncus arteriosus,68
Left superior vena cava draining directly to the left atrium,68
Bilateral superior vena cava with bridging vein,68
Bilateral superior vena cava with no bridging vein,68
Persistent left superior vena cava,68
Abnormality of ophthalmic artery,68
Abnormality of dorsal nasal artery,68
Internal carotid artery hypoplasia,68
Abnormality of anterior ethmoidal artery,68
Abnormal internal carotid artery morphology,68
Pulmonic stenosis,68
Pulmonary venous hypertension,68
Abnormal pulmonary vein physiology,68
Abnormality of the pulmonary veins,68
Increased pulmonary capillary wedge pressure,68
Intrapulmonary shunt,68
Abnormality of pulmonary circulation,68
Slow-growing nails,68
Abnormality of the subungual region,68
Premature chromatid separation,68
Premature separation of centromeric heterochromatin,68
Abnormality of chromosome segregation,68
Hepatic amyloidosis,68
Endopolyploidy on chromosome studies of bone marrow,68
Increased LDL cholesterol concentration,68
Cerebral hypomyelination,68
Brainstem dysplasia,68
Hypoplasia of the brainstem,68
Striatal T2 hyperintensity,68
Abnormal corpus striatum morphology,68
Abnormal putamen morphology,68
Apneic episodes in infancy,68
Duodenal atresia,68
Abnormal epiphyseal ossification,68
C1-C2 vertebral abnormality,68
Cervical spondylosis,68
Cervical vertebral dysplasia,68
C1-C2 subluxation,68
Intraalveolar nodular calcifications,68
Calcification of muscles,68
Decreased serum complement C3,68
Aplasia/Hypoplasia of the tragus,68
Absent tragus,68
Abnormality of the submandibular region,68
Abnormality of facial soft tissue,68
Risus sardonicus,68
Disturbance of facial expression,68
Abnormal facial expression,68
Abnormality of the face,68
Abnormality of female internal genitalia,68
Increased B cell count,68
Dysplastic testes,68
Anorchism,68
Testicular microlithiasis,68
Intratesticular abscess,68
Testicular fibrosis,68
Supernumerary testes,68
Testicular lipomatosis,68
Abnormality of the testis,68
Hypoplasia of deltoid muscle,68
Calf muscle hypoplasia,68
Shoulder muscle hypoplasia,68
Pectoralis hypoplasia,68
Neck muscle hypertrophy,68
Pollakisuria,68
Enuresis nocturna,68
Abnormality of hair texture,68
Prematurely aged appearance,69
Aged leonine appearance,69
Hypokalemia,69
Carotid artery tortuosity,69
Abnormality of central retinal artery,69
Central retinal artery occlusion,69
Increased pulmonary vascular resistance,69
Elevated pulmonary artery pressure,69
Malignant hyperthermia,69
Ascites,69
Leukodystrophy,69
Metachromatic leukodystrophy variant,69
Sudanophilic leukodystrophy,69
Dysmyelinating leukodystrophy,69
Brain stem compression,69
Abnormal facility in opposing the shoulders,69
Abnormality of the rib cage,69
Deformed rib cage,69
Thoracic dysplasia,69
Abnormality of the pons,69
Hypoplasia of the ventral pons,69
Pontine tegmental cap,69
Abnormality of the thorax,69
"Apneic episodes precipitated by illness, fatigue, stress",69
Nevus flammeus of the forehead,69
External ear malformation,69
Long foot,69
Hyperextensible hand joints,69
Hyperextensible thumb,69
Joint hypermobility,69
Decreased cervical spine mobility,69
Hypoplasia of the odontoid process,69
Hypermobility of interphalangeal joints,69
Hypermobility of distal interphalangeal joints,69
Hip joint hypermobility,69
Absent antitragus,69
Prominent antitragus,69
Bifid antitragus,69
Abnormality of the antitragus,69
Everted antitragus,69
Retractile testis,69
Sleepy facial expression,69
Abnormality of the supraorbital ridges,69
Abnormality of the periorbital region,69
Bitemporal hollowing,69
Periorbital purpura,69
Periorbital ecchymosis with tarsal plate sparing,69
Chin with horizontal crease,69
Cleft of chin,69
Abnormality of the chin,69
Chin with H-shaped crease,69
Chin with vertical crease,69
Facial tics,69
Monorchism,69
Abnormality of the testis size,69
Primary testicular failure,69
Weak cry,69
Progressive extrapyramidal movement disorder,69
Bilateral lung agenesis,69
Pili torti,69
Uncombable hair,69
Slow-growing hair,69
Abdominal distention,69
Brain atrophy,70
Defective dehydrogenation of isovaleryl CoA and butyryl CoA,70
Abnormal heart morphology,70
Thoracoabdominal ectopia cordis,70
Abnormal connection of the cardiac segments,70
Hypoplastic right heart,70
Mesocardia,70
Hypoplastic heart,70
Abnormal anatomic location of the heart,70
Uhl's anomaly,70
Ectopia cordis,70
Criss-cross atrioventricular valves,70
Superior-inferior ventricles without criss-cross atrioventricular valves,70
Cervical ectopia cordis,70
Rightward direction of ventricular apex,70
Criss-cross atrioventricular valves with superior-inferior ventricles,70
Abnormal spatial orientation of the cardiac segments,70
Situs inversus with levocardia,70
L-looping of the right ventricle,70
Thoracic ectopia cordis,70
Abnormal direction of ventricular apex,70
Congenital malformation of the right heart,70
Midline direction of ventricular apex,70
Abnormal ventriculoarterial connection,70
Abdominal ectopia cordis,70
Thoracocervical ectopia cordis,70
Thin nail,70
Aplasia/Hypoplasia of the nails,70
Abnormal hepatic iron concentration,70
T2 hypointense brainstem,70
Abnormal brainstem MRI signal intensity,70
Aplasia/Hypoplasia involving bones of the thorax,70
Globus pallidus calcification,70
Abnormal globus pallidus morphology,70
Abnormality of the substantia nigra,70
Increased caudate lactate level,70
Abnormal caudate nucleus morphology,70
Sudden episodic apnea,70
Anal fistula,70
Macronodular cirrhosis,70
Mixed cirrhosis,70
Cirrhosis,70
Naevus flammeus of the eyelid,70
Abnormality of bone mineral density,70
Hyperextensibility at wrists,70
Increased intervertebral space,70
Abnormality of the intervertebral disk,70
Hyperextensibility at elbow,70
Laryngeal calcification,70
Patchy changes of bone mineral density,70
Thin long bone diaphyses,70
Underdeveloped antitragus,70
Cupped ear,70
Underdeveloped tragus,70
Medial canthal tendon laxity,70
Orbital cyst,70
Abnormality of the orbital region,70
Upper eyelid laxity,70
Cogan lid twitch,70
Floppy eyelid,70
Abnormal eyelid physiology,70
Lateral canthal tendon laxity,70
Lid lag on downgaze,70
Eyelid laxity,70
Abnormality of the ocular adnexa,70
Vertical eyelid laxity,70
Periorbital dermoid cyst,70
Abnormal eyelid movement,70
Abnormal ocular adnexa morphology,70
Horizontal eyelid laxity,70
Abnormal ocular adnexa physiology,70
Lower eyelid laxity,70
Eyelid fasciculation,70
Small forehead,70
Abnormality of the forehead,70
Flat forehead,70
Abnormal common tendinous ring morphology,70
Infra-orbital crease,70
Infra-orbital fold,70
Bitemporal forceps marks,70
Tall chin,70
Broad chin,70
Decreased facial expression,70
Increased T cell count,70
Vanishing testis,70
Testicular torsion,70
Testicular dysgenesis,70
Aplasia of the pectoralis major muscle,70
Pretesticular azoospermia,70
Azoospermia,70
Neurogenic bladder,70
Male pseudohermaphroditism,70
Incomplete male pseudohermaphroditism,70
Thick hair,70
Dry hair,70
Hyperextensible skin of face,70
Hyperextensible skin of chest,70
Focal hyperextensible skin,70
Hyperextensible skin,70
Cerebral cortical neurodegeneration,71
Cerebral degeneration,71
Atrophy/Degeneration affecting the cerebrum,71
Episodic hypokalemia,71
Laryngomalacia,71
Carotid artery dilatation,71
Biventricular heart with straddling right sided atrioventricular valve and absent left sided atrioventricular connection,71
Overriding atrioventricular valve,71
Abnormal coronary sinus morphology,71
Coronary sinus diverticulum,71
Hypoplastic right atrium,71
Hypoplastic left atrium,71
Right sided atrium to left ventricle and absent left sided atrioventricular connection,71
Abnormal atrioventricular connection,71
Univentricular heart with absent left sided atrioventricular connection,71
Cor triatriatum dexter,71
Abnormal right atrium morphology,71
Ambiguous atrioventricular connection,71
Abnormal left atrium morphology,71
Cor triatrium sinister,71
Discordant atrioventricular connection,71
Atrial septal hypertrophy,71
Atrial situs inversus,71
Cor triatriatum,71
Coronary sinus atrial septal defect,71
Straddling atrioventricular valve,71
Absent right sided atrioventricular connection,71
Abnormal cardiac atrium morphology,71
Coronary sinus enlargement,71
Double inlet atrioventricular connection,71
Absent coronary sinus,71
Atrial situs ambiguous,71
Absent left sided atrioventricular connection,71
Abnormal atrial arrangement,71
Left atrial enlargement,71
Right atrial enlargement,71
Abnormality of nail color,71
Fragile nails,71
Metabolic ketoacidosis,71
Chylous ascites,71
Fulminant hepatic failure,71
Acute hepatic failure,71
Fibrous tissue neoplasm,71
Neoplasm by histology,71
Ependymoblastoma,71
Central primitive neuroectodermal tumor,71
Mucinous gastric carcinoma,71
Neuroepithelial neoplasm,71
Carcinoma,71
Neuroectodermal neoplasm,71
Mucinous colorectal carcinoma,71
Neurocytoma,71
Peripheral primitive neuroectodermal neoplasm,71
Nervous tissue neoplasm,71
Epithelial neoplasm,71
Embryonal neoplasm,71
Ovarian mucinous tumor,71
Craniopharyngioma,71
Primitive neuroectodermal tumor,71
Glandular cell neoplasm,71
Mucinous neoplasm,71
Inclusion body fibromatosis,71
Mucinous cystic neoplasm of the pancreas,71
Neoplasm,71
Focal T2 hypointense brainstem lesion,71
Focal T2 hyperintense brainstem lesion,71
Abnormality of the scapula,71
Horizontal inferior border of scapula,71
Abnormal basal ganglia MRI signal intensity,71
Eye of the tiger anomaly of globus pallidus,71
Tinnitus,71
Posteriorly placed anus,71
Ectopic anus,71
Micronodular cirrhosis,71
Abnormality of cartilage of external ear,71
Herniation of intervertebral nuclei,71
Intervertebral space narrowing,71
Abnormal cricoid cartilage morphology,71
Pseudarthrosis of the radius,71
Madelung-like forearm deformities,71
Lytic defects of the radius,71
Hypoplastic radial head,71
Osteosclerosis of the radius,71
Abnormality of the radius,71
Abnormality of the radial head,71
Flattened radial head,71
Abnormal morphology of bones of the lower limbs,71
Increased inflammatory response,71
Hypoplasia of the ear cartilage,71
Abnormality of the midface,71
Depressed glabella,71
Abnormality of the glabella,71
Vertical forehead creases,71
Hamartoma of the orbital region,71
Fixed facial expression,71
Abnormality of the Leydig cells,71
Hyoplasia of the Leydig cells,71
Aplasia/Hypoplasia of the testes,71
Abnormal lateral cricoarytenoid muscle morphology,71
Non-obstructive azoospermia,71
Urinary retention,71
Clitoral hypertrophy,71
Curly hair,71
Congenital malformation of the left heart,72
Right atrial isomerism,72
Left atrial isomerism,72
Common atrium,72
Malignant mesothelioma,72
Appendiceal mucinous neoplasm,72
Histiocytoma,72
Medulloepithelioma,72
Neoplasm by anatomical site,72
Soft tissue neoplasm,72
Retroperitoneal chemodectomas,72
Intramuscular Myxoma,72
Benign muscle neoplasm,72
Thickening of the lateral border of the scapula,72
Hypoplasia of the pons,72
T2 hypointense basal ganglia,72
Focal T2 hypointense basal ganglia lesion,72
Periorbital fullness,72
Central apnea,72
Priapism,72
Erectile abnormalities,72
Broad foot,72
Intervertebral disc degeneration,72
Mesomelia,72
Aplasia/hypoplasia involving bones of the lower limbs,72
Cortical thickening of the forearm bones,72
Aplasia involving bones of the lower limbs,72
Abnormal morphology of bones of the upper limbs,72
Serositis,72
Congenital earlobe sinuses,72
Diagonal earlobe crease,72
Linear earlobe crease,72
Forward facing earlobe,72
Abnormality of earlobe,72
Testicular atrophy,72
Hyperplasia of midface,72
Facial grimacing,72
Loss of facial expression,72
Obstructive azoospermia,72
Long penis,72
Female pseudohermaphroditism,72
Hypoplastic female external genitalia,72
Woolly scalp hair,72
Slow-growing scalp hair,72
Woolly hair,72
Protuberant abdomen,72
Posteriorly rotated ears,72
Encephalitis,73
Cortical thinning of foot bones,73
Thickened cortex of bones,73
Abnormality of foot cortical bone,73
Abnormal cortical bone morphology,73
Onychomadesis,73
Onycholysis,73
Arterial dissection,73
Anomalous muscle bundle of the right ventricle,73
Single ventricle of indeterminate morphology,73
Right ventricular outlet obstruction,73
Abnormal cardiac ventricle morphology,73
Abnormal right ventricle morphology,73
Single ventricle,73
Cor pulmonale,73
Thick nail,73
Melanonychia,73
Onychogryposis of toenails,73
Atrophy/Degeneration affecting the brainstem,73
Focal T2 hyperintense basal ganglia lesion,73
Degeneration of the striatum,73
Anencephaly,73
Progressive intervertebral space narrowing,73
Sacral meningocele,73
Abnormal ossification of the sacrum,73
Horizontal sacrum,73
Dysplastic sacrum,73
Unossified sacrum,73
Delayed ossification of the sacrum,73
Anterior sacral meningocele,73
Abnormal sacrum morphology,73
Mesomelic leg shortening,73
Mesomelic arm shortening,73
Acromelia of the lower limbs,73
Aplasia involving forearm bones,73
Aplasia/hypoplasia involving forearm bones,73
Aplasia/hypoplasia involving bones of the upper limbs,73
Absent forearm bone,73
Joint laxity,73
Aplasia involving bones of the upper limbs,73
Cleft earlobe,73
Decreased circulating cortisol level,73
Conjunctival dermolipoma,73
Abnormal conjunctiva morphology,73
Conjunctival papillae,73
Pinguecula,73
Conjunctival lipoma,73
Giant conjunctival papillae,73
Conjunctival follicles,73
Conjunctival whitish salt-like deposits,73
Conjunctival nodule,73
Dermolipoma of the conjunctiva,73
Conjunctival cicatrization,73
Bitot spots of the conjunctiva,73
Defect of palpebral conjunctiva,73
Prominent glabella,73
Large forehead,73
Absent testis,73
Orchitis,73
Hyperplasia of the Leydig cells,73
Hydrocele testis,73
Decreased fertility,73
Global brain atrophy,74
Cortical irregularity,74
Pseudo-fractures,74
Anterior displacement of the papillary muscles,74
Hypoplasia of right ventricle,74
Displacement of the papillary muscles,74
Abnormal left ventricle morphology,74
Muscular cardiac diverticulum,74
Double inlet right ventricle,74
Apically displaced anterolateral papillary muscle,74
Cardiac diverticulum,74
Morphological abnormality of the papillary muscles,74
Double inlet to single ventricle with two atrioventricular valves,74
Double inlet left ventricle,74
Anomalous insertion of papillary muscle directly into anterior mitral leaflet,74
Double inlet to single ventricle with common atrioventricular orifice,74
Myocardial steatosis,74
Double inlet to single ventricle of indeterminate morphology,74
Yellow nails,74
Short nail,74
Onychauxis,74
Elevated hepatic iron concentration,74
Juvenile nasopharyngeal angiofibroma,74
Neoplasm of head and neck,74
Diffuse leiomyomatosis,74
Incisional hernia,74
Ventral hernia,74
Hernia of the abdominal wall,74
Congenital microthorax,74
Unilateral chest hypoplasia,74
Aplasia/Hypoplasia of the scapulae,74
Thoracic hypoplasia,74
Scapular aplasia,74
Pulsatile tinnitus,74
Limb pain,74
Pilonidal fistula,74
Pilonidal sinus,74
Sacrococcygeal pilonidal abnormality,74
Upper limb peromelia,74
Anagen effluvium,74
Absent hair,74
Telogen effluvium,74
Abnormal hair quantity,74
Abnormality of the cheek,74
Abnormality of buccal mucosa,74
Abnormality of buccal fat pad,74
Abnormality of buccinator muscle,74
Short chin,74
Eosinophilia,74
Hypereosinophilia,74
Scapuloperoneal myopathy,74
Facial wrinkling,75
Premature skin wrinkling,75
Neonatal wrinkled skin of hands and feet,75
Double outlet left ventricle,75
Leukonychia,75
Hypocalcemia,75
Facial neoplasm,75
Mouth neoplasm,75
Increased CSF protein,75
Thoracoabdominal wall defect,75
Iron accumulation in globus pallidus,75
Iron accumulation in substantia nigra,75
Urinary bladder sphincter dysfunction,75
Upper limb pain,75
Hemihypotrophy of lower limb,75
Hemiatrophy,75
Amelia involving the lower limbs,75
Amelia involving the upper limbs,75
Intervertebral disk calcification,75
Abnormality of the foramen magnum,75
Absent palatine bone ossification,75
Abnormality of vomer,75
Abnormality of facial skeleton,75
Cephalocele,75
Abnormality of the calvaria,75
Large foramen magnum,75
Small foramen magnum,75
Decreased head circumference,75
Frontomalar faciosynostosis,75
Abnormal jaw morphology,75
Atretic occipital cephalocele,75
Abnormality of the lacrimal bone,75
Absent mastoid,75
Delayed pneumatization of the mastoid process,75
Abnormality of the mastoid,75
Increased head circumference,75
Incomplete ossification of palatine bone,75
Jaw swelling,75
Abnormality of the palatine bone,75
Aplasia of facial bones,75
Abnormality of the skull,75
Mastoiditis,75
Abnormality of skull size,75
Uplifted earlobe,75
Absent facial hair,75
Dysuria,75
Redundant skin on fingers,75
Redundant skin in infancy,75
Redundant skin,75
Premature delivery because of cervical insufficiency or membrane fragility,75
Premature birth,75
Cortically dense long tubular bones,76
Thickened cortex of long bones,76
Hypertonic dehydration,76
Dehydration,76
Arterial stenosis,76
Subaortic ventricular septal bulge,76
Right ventricular dilatation,76
Abnormality of the left ventricular outflow tract,76
Onychogryposis of fingernail,76
Lipoatrophy,76
Insulin resistance,76
Elevated circulating parathyroid hormone level,76
Hyperlipidemia,76
Hyponatremia,76
Transient hyperlipidemia,76
Fetal ascites,76
Fibrous hamartoma,76
Hamartoma,76
Asymmetry of the thorax,76
Thoracoabdominal eventration,76
Absent septum pellucidum,76
Rectal atresia,76
Acute hepatic steatosis,76
Hepatic steatosis,76
Acromesomelia,76
Absent/hypoplastic coccyx,76
Aplasia/Hypoplasia of the sacrum,76
Hypoplastic sacrum,76
Abnormality of the maxillary sinus,76
Aplasia/Hypoplasia involving bones of the skull,76
Abnormality of the paranasal sinuses,76
Advanced pneumatization of the mastoid process,76
Abnormality of the frontal bone,76
Advanced pneumatization of cranial sinuses,76
Abnormality of ethmoid bone,76
Hypoplastic facial bones,76
Attached earlobe,76
Anterior creases of earlobe,76
Sunken cheeks,76
Labial hypoplasia,76
Cyclic neutropenia,76
Neutropenia,76
Congenital neutropenia,76
Massively thickened long bone cortices,77
Thin bony cortex,77
Hypernatremic dehydration,77
Abnormality of the eye,77
Abnormal cadiomyocyte dystrophin staining,77
Cardiomyocyte inclusion bodies,77
Abnormal cardiomyocyte mitochondrial morphology,77
Intranuclear cardiomyocyte mitochondria,77
Cardiomyocyte degeneration,77
Abnormal cardiomyocyte connexin43 staining,77
Abnormal cardiomyocyte plakoglobin staining,77
Abnormal cardiomyocyte morphology,77
Myocardial sarcomeric disarray,77
Abnormal jugular vein morphology,77
Abnormality of external jugular vein,77
Abnormal facial vein morphology,77
Abnormality of internal jugular vein,77
Hypercholesterolemia,77
Cutaneous hamartoma,77
Substantia nigra gliosis,77
Hydranencephaly,77
Neonatal intestinal obstruction,77
Intestinal obstruction,77
Diaphyseal thickening,77
Slender forearm bones,77
Macrovesicular hepatic steatosis,77
Microvesicular hepatic steatosis,77
Diffuse hepatic steatosis,77
Angulated forearm bones,77
Deformed forearm bones,77
Broad forearm bones,77
Abnormal forearm bone morphology,77
Spinal canal stenosis,77
Spinal stenosis with reduced interpedicular distance,77
Lumbar spinal canal stenosis,77
Abnormality of frontal process of maxilla,77
Abnormality of skull ossification,77
Asymmetry of the maxilla,77
Abnormality of the occipital bone,77
Abnormality of frontal sinus,77
Abnormality of ethmoid sinus,77
Thin calvarium,77
Aplasia/Hypoplasia of the premaxilla,77
Hyperplasia of the premaxilla,77
Abnormality of the maxilla,77
Mild microcephaly,77
Abnormality of the premaxilla,77
Arteriovenous malformation of the maxilla,77
Aplasia/Hypoplasia involving the sinuses,77
Prominent frontal sinuses,77
Aplasia of the maxilla,77
Aplasia of the premaxilla,77
Immunologic hypersensitivity,77
Chemosis,77
Preauricular skin furrow,77
Abnormality of periauricular region,77
Postauricular skin tag,77
Pretragal ectopia,77
Preauricular cyst,77
Halitosis,77
Abnormal oral morphology,77
Abnormality of the mouth,77
Abnormal oral physiology,77
Oral bleeding,77
Myopathic facies,77
Fallopian tube torsion,77
Fallopian tube duplication,77
Abnormality of the fallopian tube,77
Fallopian tube cyst,77
Multiple cafe-au-lait spots,77
High pitched voice,77
Decreased fertility in males,77
Squared superior portion of helix,78
Thin ear helix,78
Discontinuous ascending root of helix,78
Long hairs growing from helix of pinna,78
Crimped helix,78
Hypoplastic helices,78
Darwin notch of helix,78
Darwin tubercle of helix,78
Increased incisura length,78
Decreased incisura length,78
Narrow incisura width,78
Prominent ear helix,78
Increased incisura width,78
Cleft helix,78
Abnormal incisura morphology,78
Cleft at the superior portion of the pinna,78
Progeroid facial appearance,78
Abnormality of the helix,78
Schmorl's node,78
Multiple small vertebral fractures,78
Modic type I vertebral endplate changes,78
11 thoracic vertebrae,78
Modic type III vertebral endplate changes,78
Abnormal number of vertebrae,78
Modic type vertebral endplate changes,78
Decreased number of vertebrae,78
Modic type II vertebral endplate changes,78
Dysplasia of second lumbar vertebra,78
Supernumerary vertebrae,78
Aplasia/Hypoplasia of the vertebrae,78
Abnormal vertebral morphology,78
Superior oblique muscle overaction,78
Abnormal extraocular muscle physiology,78
Inferior oblique muscle overaction,78
Abnormal superior oblique muscle physiology,78
Abnormal oblique muscle physiology,78
Superior oblique muscle weakness,78
Superior oblique muscle underaction,78
Inferior oblique muscle restriction,78
Superior oblique muscle restriction,78
Inferior oblique muscle underaction,78
Inferior oblique muscle weakness,78
Abnormal inferior oblique muscle physiology,78
Abnormal inferior rectus muscle physiology,78
Medial rectus muscle restriction,78
Abnormal vertical rectus muscle physiology,78
Superior rectus muscle underaction,78
Inferior rectus muscle overaction,78
Lateral rectus muscle restriction,78
Superior rectus muscle overaction,78
Inferior rectus muscle underaction,78
Abnormal horizontal rectus muscle physiology,78
Medial rectus muscle weakness,78
Abnormal superior rectus muscle physiology,78
Superior rectus muscle rescriction,78
Abnormal lateral rectus muscle physiology,78
Inferior rectus muscle restriction,78
Lateral rectus muscle overaction,78
Lateral rectus muscle weakness,78
Medial rectus muscle overaction,78
Superior rectus muscle weakness,78
Abnormal medial rectus muscle physiology,78
Abnormal rectus muscle physiology,78
Medial rectus muscle underaction,78
Lateral rectus muscle underaction,78
Inferior rectus muscle weakness,78
Abnormal visual electrophysiology,78
Increased Arden ratio of electrooculogram,78
Decreased Arden ratio of electrooculogram,78
Cone dysfunction syndrome,78
Abnormal electrooculogram,78
Abnormal eye physiology,78
Asthenopia,78
Abnormal intraocular pressure,78
Asymmetry of intraocular pressure,78
Extracranial internal carotid artery dissection,78
Peripheral arterial stenosis,78
Premature occlusive vascular stenosis,78
Cardiomyocyte hypertrophy,78
Abnormal endocardium morphology,78
Cardiomyocyte mitochondrial proliferation,78
Congenitally corrected transposition of the great arteries,78
Endocardial fibrosis,78
Congenitally corrected transposition of the great arteries with ventricular septal defect,78
Lipogranulomatosis,78
Decreased activity of 3-hydroxyacyl-CoA dehydrogenase,78
Hematological neoplasm,78
Malignant eosinophil proliferation,78
Bell-shaped thorax,78
High intestinal obstruction,78
Chondrocalcinosis,78
Abnormality of upper limb joint,78
Generalized joint laxity,78
Cervical spinal canal stenosis,78
Triangular humerus,78
Abnormality of the humerus,78
Osteoporotic humerus,78
Abnormality of the radioulnar joints,78
Maldevelopment of radioulnar joint,78
Abnormality of lower limb joint,78
Small sella turcica,78
Bridged sella turcica,78
Agenesis of the carotid canal,78
Elevated imprint of the transverse sinuses,78
